time,duty,rpm
0.735,-0.049,-556
0.786,-0.059,-958
0.837,-0.07,-2541
0.888,-0.079,-3749
0.939,-0.09,-4822
0.99,-0.099,-5788
1.041,-0.109,-6765
1.092,-0.12,-7698
1.142,-0.13,-8626
1.193,-0.14,-9566
1.244,-0.149,-10511
1.295,-0.159,-11461
1.346,-0.169,-12417
1.397,-0.18,-13358
1.448,-0.189,-14295
1.499,-0.199,-15220
1.549,-0.209,-16128
1.6,-0.22,-16959
1.651,-0.23,-17646
1.702,-0.24,-18117
1.753,-0.249,-18377
1.804,-0.26,-18430
1.855,-0.269,-18271
1.906,-0.279,-17922
1.957,-0.289,-17405
2.008,-0.299,-16760
2.059,-0.299,-15999
2.109,-0.299,-15180
2.16,-0.299,-14395
2.211,-0.299,-13674
2.262,-0.299,-13041
2.313,-0.299,-12504
2.364,-0.299,-12043
2.415,-0.299,-11655
2.466,-0.299,-11319
2.517,-0.299,-11028
2.568,-0.299,-10768
2.619,-0.299,-10523
2.67,-0.3,-10300
2.721,-0.299,-10092
2.772,-0.3,-9895
2.823,-0.299,-9717
2.874,-0.299,-9541
2.925,-0.299,-9384
2.977,-0.299,-9231
3.028,-0.299,-9103
3.079,-0.299,-8985
3.13,-0.299,-8867
3.182,-0.299,-8743
3.233,-0.299,-8598
3.284,-0.299,-8445
3.336,-0.3,-8273
3.388,-0.297,-8080
3.44,-0.107,-7814
3.491,-0.038,-6090
3.543,-0.001,-1213
3.595,0.001,2
3.647,0.0,16
3.698,0.0,16
3.75,0.0,-2
3.802,0.0,-3
3.853,0.0,-3
3.905,0.0,0
3.957,-0.045,9
4.009,-0.048,0
4.06,-0.052,-276
4.112,-0.055,-634
4.164,-0.054,-1091
4.216,-0.299,-3695
4.268,-0.3,-6114
4.319,-0.299,-7109
4.371,-0.065,-6893
4.423,-0.022,-5020
4.475,0.001,-214
4.526,0.001,109
4.578,0.0,-19
4.63,0.0,-28
4.682,0.0,-14
4.734,0.0,-3
4.785,0.0,-4
4.837,0.0,-6
4.889,-0.059,60
4.941,-0.061,-2856
4.993,-0.02,-3056
5.045,0.001,6
5.097,-0.001,-5
5.148,0.0,-33
5.2,0.0,-36
5.252,0.0,-15
5.304,0.0,-1
5.356,0.0,-3
5.407,0.0,-4
5.51,-0.051,-1654
5.562,-0.009,-1864
5.614,0.001,54
5.665,0.0,9
5.717,0.0,-2
5.769,0.0,-3
5.821,0.0,0
5.873,0.0,-3
5.924,0.0,-17
5.976,0.0,-35
6.028,-0.299,-1698
6.08,-0.045,-3942
6.131,-0.011,-3027
6.183,0.003,86
6.235,0.0,33
6.287,0.0,44
6.339,0.0,38
6.39,0.0,29
6.442,0.0,-1
6.494,0.0,-3
6.546,0.0,-3
6.597,-0.049,-17
6.7,-0.055,-277
6.752,-0.056,-631
6.804,-0.051,-1088
6.856,-0.3,-3651
6.908,-0.299,-6048
6.96,-0.294,-7073
7.011,-0.299,-7506
7.063,-0.299,-7656
7.115,-0.22,-7707
7.167,-0.049,-6636
7.219,-0.014,-4409
7.271,0.002,47
7.322,-0.001,-27
7.374,0.0,-41
7.426,0.0,-41
7.478,0.0,-35
7.529,0.0,-16
7.581,0.0,-12
7.633,0.0,-11
7.685,-0.071,-118
7.737,-0.05,-20
7.789,-0.055,-274
7.891,-0.054,-1084
7.943,-0.299,-3658
7.995,-0.299,-6194
8.047,-0.299,-7339
8.098,-0.299,-7831
8.151,-0.299,-8039
8.202,-0.299,-8119
8.254,-0.299,-8135
8.306,-0.299,-8131
8.358,-0.299,-8124
8.41,-0.297,-8099
8.462,-0.299,-8061
8.513,-0.299,-8042
8.565,-0.299,-8016
8.617,-0.299,-7980
8.669,-0.299,-7962
8.72,-0.299,-7954
8.772,-0.299,-7937
8.824,-0.3,-7908
8.876,-0.298,-7883
8.928,-0.051,-6987
8.98,-0.015,-4714
9.032,0.0,17
9.084,0.0,39
9.136,0.0,38
9.187,0.0,31
9.239,0.0,0
9.291,0.0,-2
9.343,0.0,0
9.395,0.0,-1
9.599,-0.049,0
9.6,-0.052,-273
9.6,-0.05,-604
9.652,-0.051,-1081
9.703,-0.299,-3509
9.755,-0.299,-5998
9.807,-0.298,-7025
9.859,-0.099,-7277
9.911,-0.03,-5738
9.963,-0.002,-1599
10.015,0.0,36
10.066,0.0,108
10.118,0.0,112
10.17,0.0,93
0.021,0.0,0
0.072,0.0,0
0.123,0.0,0
0.174,0.0,0
0.225,0.0,0
0.276,0.0,0
0.328,0.0,0
0.379,0.0,0
0.43,0.0,0
0.481,0.0,0
0.532,0.01,0
0.582,-0.019,0
0.735,-0.048,-549
0.786,-0.06,-960
0.837,-0.07,-2551
0.888,-0.079,-3793
0.938,-0.09,-4822
0.989,-0.099,-5819
1.04,-0.109,-6768
1.091,-0.12,-7711
1.142,-0.13,-8655
1.193,-0.14,-9587
1.244,-0.149,-10515
1.295,-0.16,-11458
1.346,-0.17,-12410
1.397,-0.18,-13360
1.448,-0.189,-14292
1.498,-0.199,-15213
1.549,-0.2,-16098
1.6,-0.199,-16647
1.651,-0.199,-16909
1.702,-0.199,-17027
1.753,-0.199,-17083
1.804,-0.2,-17104
1.855,-0.199,-17100
1.906,-0.199,-17087
1.957,-0.199,-17072
2.008,-0.199,-17070
2.059,-0.199,-17061
2.11,-0.199,-17068
2.16,-0.199,-17072
2.211,-0.199,-17087
2.262,-0.199,-17108
2.313,-0.199,-17118
2.365,-0.199,-17134
2.416,-0.199,-17148
2.467,-0.199,-17152
2.519,-0.199,-17151
2.57,-0.199,-17148
2.621,-0.199,-17151
2.673,-0.199,-17151
2.724,-0.199,-17149
2.775,-0.199,-17141
2.826,-0.2,-17122
2.878,-0.199,-17107
2.929,-0.199,-17097
2.98,-0.199,-17082
3.032,-0.199,-17078
3.083,-0.199,-17071
3.134,-0.199,-17084
3.186,-0.199,-17097
3.237,-0.199,-17110
3.29,-0.199,-17124
3.342,-0.199,-17135
3.394,-0.199,-17148
3.446,-0.199,-17163
3.498,-0.199,-17164
3.549,-0.199,-17165
3.601,-0.199,-17159
3.653,-0.2,-17157
3.705,-0.199,-17154
3.757,-0.199,-17135
3.81,-0.199,-17116
3.862,-0.2,-17099
3.914,-0.199,-17089
3.966,-0.199,-17088
4.017,-0.2,-17083
4.07,-0.199,-17093
4.122,-0.199,-17097
4.174,-0.199,-17116
4.226,-0.199,-17132
4.277,-0.199,-17152
4.329,-0.2,-17168
4.382,-0.2,-17171
4.433,-0.199,-17173
4.485,-0.2,-17173
4.537,-0.199,-17175
4.59,-0.199,-17170
4.642,-0.199,-17164
4.695,-0.199,-17154
4.746,-0.199,-17135
4.798,-0.199,-17117
4.85,-0.199,-17106
4.902,-0.199,-17090
4.954,-0.199,-17086
5.006,-0.199,-17085
5.058,-0.2,-17103
5.11,-0.199,-17116
5.163,-0.199,-17128
5.215,-0.199,-17144
5.266,-0.2,-17153
5.318,-0.199,-17162
5.37,-0.199,-17171
5.422,-0.199,-17172
5.474,-0.199,-17167
5.525,-0.2,-17166
5.577,-0.199,-17164
5.629,-0.199,-17158
5.681,-0.199,-17146
5.734,-0.199,-17133
5.785,-0.199,-17117
5.838,-0.199,-17107
5.89,-0.2,-17096
5.941,-0.199,-17093
5.994,-0.199,-17104
6.046,-0.199,-17122
6.098,-0.199,-17143
6.15,-0.199,-17153
6.202,-0.199,-17167
6.254,-0.199,-17172
6.306,-0.199,-17177
6.359,-0.199,-17179
6.411,-0.199,-17176
6.463,-0.199,-17178
6.514,-0.199,-17182
6.566,-0.199,-17179
6.618,-0.199,-17165
6.67,-0.199,-17144
6.721,-0.199,-17124
6.773,-0.199,-17108
6.825,-0.199,-17100
6.877,-0.199,-17099
6.929,-0.199,-17101
7.032,-0.199,-17128
7.083,-0.2,-17149
7.135,-0.199,-17163
7.187,-0.199,-17172
7.239,-0.2,-17178
7.291,-0.199,-17177
7.342,-0.199,-17176
7.394,-0.199,-17177
7.446,-0.199,-17175
7.498,-0.199,-17173
7.55,-0.199,-17168
7.602,-0.199,-17152
7.653,-0.199,-17131
7.705,-0.199,-17113
7.757,-0.199,-17116
7.809,-0.199,-17103
7.861,-0.199,-17109
7.913,-0.199,-17111
7.964,-0.199,-17131
8.016,-0.199,-17155
8.068,-0.199,-17168
8.12,-0.199,-17183
8.172,-0.199,-17189
8.223,-0.2,-17191
8.275,-0.199,-17196
8.327,-0.199,-17192
8.379,-0.199,-17191
8.43,-0.199,-17190
8.482,-0.2,-17179
8.534,-0.199,-17168
8.586,-0.199,-17153
8.637,-0.199,-17140
8.689,-0.199,-17126
8.741,-0.199,-17115
8.793,-0.199,-17112
8.845,-0.199,-17108
8.898,-0.199,-17120
8.949,-0.199,-17129
9.001,-0.199,-17147
9.054,-0.2,-17161
0.021,0.0,0
0.072,0.0,0
0.123,0.0,0
0.174,0.0,0
0.225,0.0,0
0.277,0.0,0
0.328,0.0,0
0.379,0.0,0
0.43,0.0,0
0.481,0.0,0
0.539,-0.009,0
0.59,-0.02,0
0.641,-0.03,-248
0.692,-0.039,-241
0.744,-0.049,-561
0.795,-0.06,-1039
0.846,-0.07,-2391
0.897,-0.08,-3681
0.949,-0.09,-4787
1.0,-0.099,-5803
1.051,-0.109,-6795
1.103,-0.12,-7748
1.154,-0.13,-8677
1.205,-0.14,-9610
1.256,-0.149,-10545
1.308,-0.159,-11483
1.359,-0.17,-12422
1.41,-0.18,-13356
1.462,-0.189,-14275
1.513,-0.199,-15188
1.564,-0.209,-16043
1.616,-0.22,-16735
1.667,-0.23,-17171
1.718,-0.239,-17365
1.77,-0.249,-17356
1.821,-0.25,-17153
1.872,-0.249,-16860
1.923,-0.249,-16542
1.975,-0.249,-16259
2.026,-0.249,-16032
2.077,-0.25,-15859
2.129,-0.249,-15711
2.18,-0.25,-15581
2.231,-0.249,-15460
2.283,-0.249,-15332
2.334,-0.249,-15198
2.385,-0.249,-15083
2.436,-0.25,-14971
2.488,-0.249,-14861
2.539,-0.249,-14733
2.59,-0.249,-14601
2.642,-0.249,-14445
2.694,-0.249,-14264
2.745,-0.249,-14069
2.797,-0.249,-13869
2.849,-0.249,-13688
2.901,-0.249,-13531
2.953,-0.249,-13398
3.006,-0.249,-13306
3.057,-0.249,-13254
3.109,-0.249,-13257
3.161,-0.249,-13307
3.213,-0.25,-13401
3.265,-0.249,-13518
3.316,-0.249,-13658
3.368,-0.249,-13786
3.421,-0.249,-13905
3.473,-0.249,-14004
3.525,-0.25,-14093
3.577,-0.249,-14168
3.629,-0.249,-14219
