time,duty,rpm
10.999,-0.199,-17048
11.051,-0.199,-17054
11.103,-0.199,-17056
11.155,-0.199,-17035
11.206,-0.199,-17022
11.258,-0.199,-17001
11.31,-0.199,-16998
11.362,-0.199,-16992
11.413,-0.199,-16985
11.465,-0.199,-16987
11.517,-0.199,-17003
11.569,-0.199,-17017
11.62,-0.199,-17045
11.672,-0.199,-17069
11.724,-0.199,-17084
11.776,-0.199,-17094
11.828,-0.199,-17097
11.88,-0.199,-17098
11.932,-0.199,-17095
11.984,-0.199,-17107
12.036,-0.199,-17094
12.088,-0.199,-17079
12.14,-0.199,-17042
12.192,-0.2,-17007
12.243,-0.2,-16987
12.295,-0.2,-16974
12.347,-0.199,-16980
12.399,-0.199,-16980
12.451,-0.199,-17009
12.502,-0.199,-17033
12.554,-0.199,-17059
12.606,-0.199,-17077
12.658,-0.199,-17086
12.709,-0.199,-17091
12.761,-0.199,-17099
12.813,-0.199,-17101
12.865,-0.199,-17093
12.916,-0.199,-17106
12.968,-0.199,-17095
13.02,-0.199,-17088
13.072,-0.199,-17054
13.124,-0.199,-17029
13.175,-0.199,-17003
13.227,-0.199,-16986
13.279,-0.2,-16987
13.331,-0.199,-16970
13.383,-0.199,-16983
13.434,-0.199,-16997
13.486,-0.199,-17034
13.538,-0.199,-17054
13.59,-0.199,-17077
0.021,0.0,0
0.072,0.0,0
0.123,0.0,0
0.175,0.0,0
0.226,0.0,0
0.277,0.0,0
0.329,0.0,0
0.38,0.0,0
0.432,0.0,0
0.483,0.0,0
0.539,-0.01,0
0.59,-0.02,0
0.641,-0.03,-261
0.693,-0.039,-240
0.744,-0.049,-558
0.795,-0.06,-1021
0.846,-0.07,-2543
0.898,-0.079,-3788
0.949,-0.09,-4837
1.0,-0.1,-5812
1.052,-0.11,-6773
1.103,-0.12,-7706
1.154,-0.13,-8640
1.205,-0.14,-9582
1.257,-0.149,-10526
1.308,-0.159,-11470
1.359,-0.17,-12421
1.41,-0.18,-13360
1.462,-0.189,-14291
1.513,-0.2,-15195
1.564,-0.209,-16074
1.615,-0.219,-16856
1.667,-0.23,-17429
1.769,-0.249,-17943
1.82,-0.26,-17885
1.872,-0.27,-17598
1.923,-0.28,-17117
1.974,-0.29,-16458
2.025,-0.299,-15668
2.077,-0.299,-14767
2.128,-0.299,-13822
2.179,-0.299,-12905
2.23,-0.299,-12043
2.282,-0.299,-11273
2.333,-0.299,-10595
2.384,-0.299,-10044
2.435,-0.299,-9584
2.487,-0.299,-9195
2.538,-0.299,-8844
2.589,-0.299,-8573
2.641,-0.299,-8333
2.692,-0.299,-8139
2.743,-0.108,-7846
2.795,-0.035,-6119
2.847,-0.004,-2367
2.898,0.001,135
2.95,0.0,19
3.002,0.0,26
3.054,0.0,24
0.021,0.0,0
0.072,0.0,0
0.123,0.0,0
0.174,0.0,0
0.225,0.0,0
0.276,0.0,0
0.327,0.0,0
0.378,0.0,0
0.429,0.0,0
0.48,0.0,0
0.531,-0.01,0
0.582,-0.019,0
0.633,-0.029,-257
0.734,-0.046,-548
0.785,-0.06,-955
0.836,-0.07,-2545
0.888,-0.08,-3805
0.939,-0.09,-4867
0.99,-0.099,-5864
1.041,-0.109,-6826
1.093,-0.12,-7775
1.144,-0.13,-8705
1.195,-0.14,-9641
1.247,-0.149,-10567
1.349,-0.169,-12424
1.4,-0.18,-13338
1.452,-0.189,-14237
1.503,-0.199,-15142
1.554,-0.209,-16006
1.605,-0.219,-16724
1.657,-0.23,-17248
1.708,-0.239,-17569
1.759,-0.249,-17762
1.81,-0.26,-17826
1.862,-0.269,-17774
1.913,-0.28,-17599
1.964,-0.29,-17341
2.015,-0.299,-17005
2.067,-0.299,-16541
2.118,-0.299,-16017
2.169,-0.299,-15473
2.221,-0.3,-14939
2.272,-0.3,-14414
2.323,-0.299,-13868
2.375,-0.299,-13323
2.426,-0.299,-12756
2.477,-0.299,-12177
2.528,-0.299,-11629
2.58,-0.299,-11107
2.631,-0.299,-10613
2.682,-0.299,-10164
2.734,-0.299,-9734
2.785,-0.299,-9387
2.837,-0.299,-9045
2.888,-0.299,-8742
2.94,-0.299,-8499
2.992,-0.299,-8346
3.044,-0.299,-8210
3.095,-0.299,-8115
3.148,-0.299,-8114
3.199,-0.299,-8123
3.251,-0.299,-8164
3.303,-0.299,-8221
3.355,-0.299,-8269
3.407,-0.299,-8298
3.459,-0.299,-8318
3.51,-0.299,-8327
3.562,-0.299,-8329
3.614,-0.299,-8328
3.666,-0.299,-8292
3.718,-0.299,-8257
3.77,-0.299,-8193
3.822,-0.299,-8140
3.873,-0.299,-8089
3.925,-0.299,-8033
3.977,-0.299,-7996
4.029,-0.299,-7958
4.082,-0.257,-7923
4.134,-0.299,-7849
4.187,-0.048,-6916
4.239,-0.014,-4567
4.291,0.0,40
4.344,0.0,2
4.395,0.0,1
4.447,0.0,0
4.499,0.0,5
4.551,0.0,4
