time,duty,v_in,current_motor
0.051,0.0,20.2,0.01
0.102,0.009,20.2,0.12
0.154,0.02,20.2,1.52
0.206,0.03,20.2,8.22
0.257,0.04,20.2,20.83
0.308,0.049,20.2,34.84
0.36,0.06,20.2,42.59
0.411,0.07,20.2,26.9
0.462,0.079,20.2,19.35
0.513,0.09,20.2,20.74
0.564,0.099,20.2,19.47
0.616,0.099,20.2,19.69
0.667,0.09,20.2,15.87
0.718,0.079,20.2,14.76
0.769,0.069,20.2,14.11
0.82,0.06,20.2,14.75
0.872,0.049,20.2,13.72
0.923,0.039,20.2,15.69
0.974,0.03,20.2,12.69
1.025,0.02,20.2,13.21
1.076,0.009,20.2,8.89
1.127,0.0,20.2,-1.03
1.179,-0.009,20.2,-0.01
1.23,-0.019,20.2,3.08
1.281,-0.029,20.2,15.15
1.332,-0.039,20.2,26.59
1.383,-0.05,20.2,41.52
1.434,-0.06,20.2,50.47
1.486,-0.07,20.2,44.17
1.537,-0.08,20.2,6.2
1.588,-0.09,20.2,5.91
1.639,-0.099,20.2,5.54
1.69,-0.1,20.2,4.98
1.741,-0.09,20.2,3.51
1.792,-0.08,20.2,2.38
1.843,-0.069,20.2,1.96
1.895,-0.059,20.2,2.26
1.946,-0.049,20.2,2.83
1.997,-0.04,20.2,2.92
2.048,-0.03,20.2,2.47
2.099,-0.019,20.2,1.64
2.15,0.01,20.2,1.28
2.202,0.0,20.2,-0.12
2.253,0.0,20.2,0.12
2.304,0.01,20.2,0.81
2.355,0.019,20.2,6.86
2.406,0.03,20.2,13.75
2.457,0.04,20.2,30.12
2.508,0.049,20.2,38.77
2.56,0.059,20.2,26.1
2.611,0.07,20.2,16.72
2.662,0.08,20.2,19.05
2.713,0.09,20.2,18.47
2.764,0.099,20.2,18.96
2.815,0.1,20.2,18.7
2.867,0.089,20.2,14.57
2.918,0.079,20.2,15.42
2.969,0.069,20.2,15.37
3.02,0.06,20.2,14.16
3.071,0.049,20.2,14.83
3.123,0.039,20.2,15.53
3.174,0.03,20.2,13.72
3.225,0.02,20.2,11.92
3.276,-0.009,20.2,-1.52
3.327,0.0,20.2,-0.99
3.378,-0.009,20.2,-1.1
