time,duty,v_in,current_motor
0.051,0.0,20.2,0.0
0.102,0.009,20.2,0.12
0.154,0.019,20.2,1.6
0.205,0.029,20.2,11.09
0.256,0.04,20.2,23.31
0.307,0.049,20.2,34.11
0.359,0.06,20.2,41.87
0.41,0.07,20.2,13.33
0.461,0.08,20.2,11.17
0.512,0.089,20.2,12.09
0.563,0.099,20.2,11.23
0.615,0.1,20.2,11.23
0.666,0.09,20.2,9.15
0.717,0.08,20.2,7.77
0.768,0.069,20.2,7.88
0.819,0.06,20.2,7.42
0.871,0.049,20.2,7.36
0.922,0.04,20.2,8.46
0.973,0.03,20.2,5.95
1.024,0.019,20.2,4.46
1.075,-0.01,20.2,2.87
1.127,0.0,20.2,-1.04
1.178,-0.009,20.2,0.23
1.229,-0.019,20.2,2.65
1.28,-0.03,20.2,9.94
1.331,-0.039,20.2,25.63
1.383,-0.05,20.2,39.89
1.434,-0.06,20.2,48.57
1.485,-0.07,20.2,33.19
1.536,-0.079,20.2,8.82
1.587,-0.09,20.2,9.37
1.638,-0.1,20.2,9.98
1.689,-0.099,20.2,8.09
1.741,-0.089,20.2,6.99
1.792,-0.079,20.2,5.63
1.843,-0.07,20.2,5.69
1.894,-0.06,20.2,4.97
1.945,-0.049,20.2,5.51
1.996,-0.039,20.2,5.59
2.047,-0.03,20.2,4.25
2.099,-0.02,20.2,3.49
2.15,0.01,20.2,1.49
2.201,0.0,20.2,-0.28
2.253,0.0,20.2,0.13
2.304,0.009,20.2,0.79
2.355,0.02,20.2,4.64
2.407,0.03,20.2,16.3
2.458,0.039,20.2,31.19
2.509,0.049,20.2,40.09
2.56,0.06,20.2,26.04
2.611,0.069,20.2,10.59
2.662,0.079,20.2,11.16
2.714,0.089,20.2,11.87
2.765,0.099,20.2,11.49
2.816,0.099,20.2,10.25
2.867,0.09,20.2,8.09
2.918,0.079,20.2,8.11
2.969,0.069,20.2,6.85
3.021,0.06,20.2,8.25
3.072,0.049,20.2,8.33
3.123,0.04,20.2,7.01
3.174,0.03,20.2,5.66
3.225,0.019,20.2,3.34
3.276,-0.01,20.2,-0.49
3.328,0.0,20.2,-0.27
3.379,-0.009,20.2,1.15
3.43,-0.019,20.2,4.99
3.481,-0.03,20.2,18.3
3.532,-0.04,20.2,34.1
3.584,-0.06,20.2,43.12
3.635,-0.07,20.2,14.28
3.686,-0.079,20.2,8.8
3.738,-0.09,20.2,9.21
3.789,-0.099,20.2,9.86
3.84,-0.1,20.2,9.3
3.891,-0.09,20.2,8.01
3.942,-0.079,20.2,5.68
3.993,-0.07,20.2,6.09
4.044,-0.059,20.2,5.24
4.095,-0.05,20.2,5.7
4.147,-0.04,20.2,5.81
4.198,-0.03,20.2,4.22
4.249,-0.019,20.2,4.35
4.3,-0.01,20.2,3.8
4.351,0.0,20.2,0.38
4.402,0.0,20.2,-0.06
4.454,0.009,20.2,-0.15
4.505,0.019,20.2,1.73
4.556,0.03,20.2,12.25
4.607,0.039,20.2,26.16
4.658,0.049,20.2,36.74
4.71,0.06,20.2,39.01
4.761,0.069,20.2,12.52
4.813,0.079,20.2,11.06
4.865,0.09,20.2,11.35
4.916,0.099,20.2,11.73
4.968,0.099,20.2,10.22
5.02,0.09,20.2,8.64
5.071,0.079,20.2,7.5
5.123,0.07,20.2,8.0
5.175,0.059,20.2,7.98
5.226,0.049,20.2,7.7
5.278,0.039,20.2,7.47
5.33,0.03,20.2,7.49
5.382,0.019,20.2,5.0
5.434,-0.01,20.2,1.84
5.485,0.0,20.2,-0.75
5.537,-0.009,20.2,0.77
5.589,-0.02,20.2,4.2
5.64,-0.03,20.2,12.83
5.692,-0.039,20.2,31.36
5.743,-0.049,20.2,41.54
5.795,-0.06,20.2,23.51
5.847,-0.07,20.2,9.04
5.899,-0.08,20.2,8.99
5.951,-0.09,20.2,9.45
6.002,-0.099,20.2,9.54
6.054,-0.099,20.2,8.36
6.106,-0.09,20.2,6.01
6.158,-0.079,20.2,5.74
6.209,-0.07,20.2,5.25
6.261,-0.06,20.2,5.72
6.313,-0.049,20.2,5.27
6.366,-0.03,20.2,5.52
6.419,-0.019,20.2,4.33
6.471,-0.01,20.2,2.25
6.522,0.0,20.2,-0.58
6.574,0.0,20.2,0.1
6.626,0.009,20.2,0.18
6.677,0.019,20.2,2.04
6.729,0.03,20.1,10.49
6.781,0.039,20.2,25.53
6.832,0.049,20.2,35.71
6.884,0.06,20.2,40.73
6.935,0.069,20.2,12.86
6.987,0.079,20.2,11.52
7.039,0.09,20.2,11.01
7.091,0.099,20.2,11.88
7.142,0.099,20.2,10.18
7.194,0.089,20.2,9.1
7.246,0.079,20.2,7.9
7.298,0.07,20.2,7.33
7.349,0.06,20.2,8.75
7.401,0.05,20.2,6.68
7.453,0.04,20.2,7.43
7.505,0.03,20.2,6.09
7.556,0.019,20.2,5.57
7.608,-0.01,20.2,3.72
7.66,0.0,20.2,-1.0
7.711,-0.009,20.2,0.56
7.763,-0.019,20.2,3.61
7.815,-0.03,20.2,7.78
7.867,-0.039,20.2,31.23
7.919,-0.05,20.2,40.57
7.971,-0.059,20.2,38.13
8.023,-0.07,20.2,9.14
8.075,-0.08,20.2,9.07
8.127,-0.089,20.2,9.42
8.18,-0.099,20.2,9.7
8.232,-0.099,20.2,7.93
8.284,-0.09,20.2,6.54
8.336,-0.079,20.2,5.64
8.388,-0.069,20.2,5.6
8.441,-0.06,20.2,6.46
8.493,-0.049,20.2,6.15
8.546,-0.03,20.2,4.65
8.598,-0.02,20.2,3.81
