time,duty,v_in,current_motor,current_in
0.052,0.0,20.2,0.0,0.0
0.103,0.009,20.2,0.13,0.0
0.155,0.019,20.2,1.48,0.0
0.206,0.03,20.2,11.02,0.14
0.258,0.039,20.2,22.51,0.49
0.309,0.049,20.2,32.71,0.98
0.36,0.06,20.2,40.03,1.49
0.412,0.07,20.2,15.78,0.75
0.463,0.079,20.2,15.09,0.85
0.514,0.09,20.2,16.06,1.04
0.565,0.1,20.2,15.2,1.13
0.616,0.099,20.2,15.64,1.27
0.668,0.089,20.2,12.38,0.99
0.719,0.079,20.2,11.66,0.83
0.77,0.07,20.2,10.4,0.65
0.821,0.059,20.2,13.19,0.63
0.872,0.049,20.2,11.69,0.51
0.923,0.04,20.2,10.99,0.37
0.975,0.03,20.2,8.36,0.23
1.026,0.019,20.2,8.8,0.17
1.077,-0.01,20.2,5.57,0.08
1.128,0.0,20.2,-2.09,0.0
1.179,-0.01,20.2,-0.11,0.0
1.23,-0.02,20.2,1.21,0.0
1.281,-0.03,20.2,10.87,0.19
1.333,-0.039,20.2,27.92,0.7
1.384,-0.049,20.2,39.9,1.34
1.435,-0.059,20.2,52.12,2.14
1.486,-0.061,20.2,57.92,2.62
1.537,-0.079,20.2,38.17,1.9
1.588,-0.089,20.2,7.76,0.53
1.639,-0.099,20.2,7.67,0.59
1.691,-0.099,20.2,5.78,0.45
1.742,-0.089,20.2,4.82,0.33
1.793,-0.079,20.2,3.57,0.22
1.844,-0.07,20.2,2.89,0.16
1.895,-0.059,20.2,2.49,0.12
1.947,-0.049,20.2,2.8,0.1
1.998,-0.04,20.2,2.61,0.07
2.05,-0.03,20.2,3.06,0.06
